Wales,"3,074.10"
Scotland,"5,313.60"
North East,"2,602.30"
North West,"7,084.30"
Yorkshire and The Humber,"5,316.70"
East Midlands,"4,567.70"
West Midlands,"5,642.60"
East of England,"5,907.30"
London,"8,308.40"
South East,"8,724.70"
South West,"5,339.60"
